FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8020910.0,1HS7,A:23-119,Q12241,23-119,8033290.0,1HS7,A:23-119,Q12241,23-119,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8025203.0,1EZ3,A:26-149,P32851,26-149,8037582.0,1EZ3,A:26-149,P32851,26-149,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8025207.0,1FIO,A:31-178,P32867,31-178,8037586.0,1FIO,A:31-178,P32867,31-178,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8029091.0,1LVF,A:4-109,Q63635,4-109,8041470.0,1LVF,A:4-109,Q63635,4-109,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8029113.0,1S94,A:31-151,O46345,31-151,8041492.0,1S94,A:31-151,O46345,31-151,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8067985.0,3ONJ,A:3-99,Q04338,3-99,8067986.0,3ONJ,A:3-99,Q04338,3-99,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8067987.0,2V8S,V:2-94,Q9UEU0,2-94,8067988.0,2V8S,V:2-94,Q9UEU0,2-94,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8067989.0,2QYW,A:1-96,O88384,1-96,8067990.0,2QYW,A:1-96,O88384,1-96,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8080100.0,5LG4,A:36-158,P39926,36-158,8080101.0,5LG4,A:36-158,P39926,36-158,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8086357.0,4J2C,C:3-109,O43752,3-109,8086358.0,4J2C,C:3-109,O43752,3-109,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8086359.0,4DND,A:5-108,O60499,5-108,8086360.0,4DND,A:5-108,O60499,5-108,"TP=1,CL=1000000,CF=2000094,SF=3000366,FA=4000986",1.0,1000000.0,2000094.0,3000366.0,4000986.0
8028082.0,1R9F,A:26-148,P11690,26-148,8040461.0,1R9F,A:26-148,P11690,26-148,"TP=1,CL=1000003,CF=2001066,SF=3001735,FA=4001511",1.0,1000003.0,2001066.0,3001735.0,4001511.0
8028445.0,1RPU,A:8-152,Q66104,8-152,8040824.0,1RPU,A:8-152,Q66104,8-152,"TP=1,CL=1000003,CF=2001066,SF=3001735,FA=4001511",1.0,1000003.0,2001066.0,3001735.0,4001511.0
8025214.0,2B3W,A:1-160,P30176,1-160,8037593.0,2B3W,A:1-160,P30176,1-160,"TP=1,CL=1000003,CF=2000281,SF=3000367,FA=4000469",1.0,1000003.0,2000281.0,3000367.0,4000469.0
8026691.0,1G8Q,A:113-202,P60033,113-202,8039070.0,1G8Q,A:113-202,P60033,113-202,"TP=1,CL=1000000,CF=2001067,SF=3001736,FA=4001512",1.0,1000000.0,2001067.0,3001736.0,4001512.0
8082399.0,3X0G,A:113-202,A0A0D9RBI8,113-202,8082400.0,3X0G,A:113-202,A0A0D9RBI8,113-202,"TP=1,CL=1000000,CF=2001067,SF=3001736,FA=4001512",1.0,1000000.0,2001067.0,3001736.0,4001512.0
8082401.0,3X0F,B:113-200,P35762,113-200,8082402.0,3X0F,B:113-200,P35762,113-200,"TP=1,CL=1000000,CF=2001067,SF=3001736,FA=4001512",1.0,1000000.0,2001067.0,3001736.0,4001512.0
8104362.0,7MWS,B:112-202,Q9N0J9,112-202,8104363.0,7MWS,B:112-202,Q9N0J9,112-202,"TP=1,CL=1000000,CF=2001067,SF=3001736,FA=4001512",1.0,1000000.0,2001067.0,3001736.0,4001512.0
8026422.0,3B45,A:91-270,P09391,91-270,8038801.0,3B45,A:91-270,P09391,91-270,"TP=2,CL=1000000,CF=2000280,SF=3000368,FA=4000471",2.0,1000000.0,2000280.0,3000368.0,4000471.0
8030839.0,2NR9,A:4-192,P44783,4-192,8043218.0,2NR9,A:4-192,P44783,4-192,"TP=2,CL=1000000,CF=2000280,SF=3000368,FA=4000471",2.0,1000000.0,2000280.0,3000368.0,4000471.0
8073997.0,5MTF,A:91-271,B7MDQ0,91-271,8073998.0,5MTF,A:91-271,B7MDQ0,91-271,"TP=2,CL=1000000,CF=2000280,SF=3000368,FA=4000471",2.0,1000000.0,2000280.0,3000368.0,4000471.0
8030047.0,1H71,P:245-463,O69771,262-480,8042426.0,1H71,P:245-463,O69771,262-480,"TP=1,CL=1000001,CF=2000062,SF=3001737,FA=4002779",1.0,1000001.0,2000062.0,3001737.0,4002779.0
8030339.0,1K7I,A:259-479,P16317,259-479,8042718.0,1K7I,A:259-479,P16317,259-479,"TP=1,CL=1000001,CF=2000062,SF=3001737,FA=4002779",1.0,1000001.0,2000062.0,3001737.0,4002779.0
8030575.0,1KAP,P:247-470,Q03023,256-479,8042954.0,1KAP,P:247-470,Q03023,256-479,"TP=1,CL=1000001,CF=2000062,SF=3001737,FA=4002779",1.0,1000001.0,2000062.0,3001737.0,4002779.0
8030577.0,1SRP,A:247-471,P07268,263-487,8042956.0,1SRP,A:247-471,P07268,263-487,"TP=1,CL=1000001,CF=2000062,SF=3001737,FA=4002779",1.0,1000001.0,2000062.0,3001737.0,4002779.0
8022865.0,2OQ0,B:115-202,Q16666,302-389,8035245.0,2OQ0,B:115-202,Q16666,302-389,"TP=1,CL=1000001,CF=2000100,SF=3000370,FA=4001783",1.0,1000001.0,2000100.0,3000370.0,4001783.0
8022867.0,2OQ0,B:12-114,Q16666,199-301,8035247.0,2OQ0,B:12-114,Q16666,199-301,"TP=1,CL=1000001,CF=2000100,SF=3000370,FA=4001783",1.0,1000001.0,2000100.0,3000370.0,4001783.0
8022830.0,1UW6,A:0-207,P58154,19-226,8035210.0,1UW6,A:0-207,P58154,19-226,"TP=1,CL=1000001,CF=2000282,SF=3000369,FA=4003166",1.0,1000001.0,2000282.0,3000369.0,4003166.0
8082305.0,4AOD,A:1-205,J9PBR4,1-205,8082306.0,4AOD,A:1-205,J9PBR4,1-205,"TP=1,CL=1000001,CF=2000282,SF=3000369,FA=4003166",1.0,1000001.0,2000282.0,3000369.0,4003166.0
8082307.0,3PEO,D:2-207,Q8WSF8,19-224,8082308.0,3PEO,D:2-207,Q8WSF8,19-224,"TP=1,CL=1000001,CF=2000282,SF=3000369,FA=4003166",1.0,1000001.0,2000282.0,3000369.0,4003166.0
8082309.0,4AOE,A:1-205,J7JGR6,20-224,8082310.0,4AOE,A:1-205,J7JGR6,20-224,"TP=1,CL=1000001,CF=2000282,SF=3000369,FA=4003166",1.0,1000001.0,2000282.0,3000369.0,4003166.0
8022165.0,1C76,A:16-136,P68802,43-163,8034545.0,1C76,A:16-136,P68802,43-163,"TP=1,CL=1000003,CF=2000097,SF=3000371,FA=4000987",1.0,1000003.0,2000097.0,3000371.0,4000987.0
8022172.0,1C4P,C:149-280,Q53284,149-280,8034552.0,1C4P,C:149-280,Q53284,149-280,"TP=1,CL=1000003,CF=2000097,SF=3000371,FA=4000987",1.0,1000003.0,2000097.0,3000371.0,4000987.0
8082960.0,1BUI,C:15-136,P15240,42-163,8082961.0,1BUI,C:15-136,P15240,42-163,"TP=1,CL=1000003,CF=2000097,SF=3000371,FA=4000987",1.0,1000003.0,2000097.0,3000371.0,4000987.0
8085572.0,1QQR,B:151-283,P00779,177-309,8085573.0,1QQR,B:151-283,P00779,177-309,"TP=1,CL=1000003,CF=2000097,SF=3000371,FA=4000987",1.0,1000003.0,2000097.0,3000371.0,4000987.0
8028416.0,2FDO,A:1-92,O27953,1-92,8040795.0,2FDO,A:1-92,O27953,1-92,"TP=1,CL=1000003,CF=2000283,SF=3000372,FA=4000473",1.0,1000003.0,2000283.0,3000372.0,4000473.0
8027644.0,1T6A,A:0-123,P84137,1-124,8040023.0,1T6A,A:0-123,P84137,1-124,"TP=1,CL=1000003,CF=2000457,SF=3001740,FA=4002784",1.0,1000003.0,2000457.0,3001740.0,4002784.0
8020248.0,1VQO,F:1-119,P12743,2-120,8032628.0,1VQO,F:1-119,P12743,2-120,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8020677.0,2HVY,D:4-124,Q8U160,3-123,8033057.0,2HVY,D:4-124,Q8U160,3-123,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8021010.0,1X52,A:8-118,Q9BRX2,261-371,8033390.0,1X52,A:8-118,Q9BRX2,261-371,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001517",1.0,1000003.0,2001065.0,3001739.0,4001517.0
8021104.0,2ALE,A:1-126,P39990,1-126,8033484.0,2ALE,A:1-126,P39990,1-126,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8021180.0,2BO1,A:1-100,P29160,2-101,8033560.0,2BO1,A:1-100,P29160,2-101,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8021285.0,1XBI,A:2-116,P54066,2-116,8033665.0,1XBI,A:2-116,P54066,2-116,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8021603.0,2FC3,A:4-127,Q9YAX7,4-127,8033983.0,2FC3,A:4-127,Q9YAX7,4-127,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8023616.0,2QI2,A:244-338,Q9HJ74,244-338,8035996.0,2QI2,A:244-338,Q9HJ74,244-338,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001517",1.0,1000003.0,2001065.0,3001739.0,4001517.0
8023650.0,1DT9,A:277-422,P62495,277-422,8036030.0,1DT9,A:277-422,P62495,277-422,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001517",1.0,1000003.0,2001065.0,3001739.0,4001517.0
8025088.0,2VGN,A:278-381,P33309,278-381,8037467.0,2VGN,A:278-381,P33309,278-381,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001517",1.0,1000003.0,2001065.0,3001739.0,4001517.0
8026547.0,1RLG,A:7-119,O29494,7-119,8038926.0,1RLG,A:7-119,O29494,7-119,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8027050.0,2CZW,A:7-124,P62009,6-123,8039429.0,2CZW,A:7-124,P62009,6-123,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8027231.0,1IPA,A:1-105,Q7SID4,1-105,8039610.0,1IPA,A:1-105,Q7SID4,1-105,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4002711",1.0,1000003.0,2001065.0,3001739.0,4002711.0
8027483.0,1T0K,B:9-105,P14120,9-105,8039862.0,1T0K,B:9-105,P14120,9-105,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8029930.0,1GZ0,A:2-77,P63177,2-77,8042309.0,1GZ0,A:2-77,P63177,2-77,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4002711",1.0,1000003.0,2001065.0,3001739.0,4002711.0
8031360.0,2OZB,A:4-128,P55769,4-128,8043738.0,2OZB,A:4-128,P55769,4-128,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063947.0,3PLA,C:7-128,D0KRE2,7-128,8063948.0,3PLA,C:7-128,D0KRE2,7-128,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063949.0,3ID5,C:7-126,P55858,4-123,8063950.0,3ID5,C:7-126,P55858,4-123,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063951.0,1PXW,A:6-128,P62008,1-123,8063952.0,1PXW,A:6-128,P62008,1-123,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063953.0,5OQL,W:7-126,G0SGM0,7-126,8063954.0,5OQL,W:7-126,G0SGM0,7-126,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063955.0,3O85,B:2-122,A8BMJ0,2-122,8063956.0,3O85,B:2-122,A8BMJ0,2-122,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063957.0,5EWR,A:24-145,M1VFX0,24-145,8063958.0,5EWR,A:24-145,M1VFX0,24-145,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063959.0,2LBW,A:36-156,P32495,36-156,8063960.0,2LBW,A:36-156,P32495,36-156,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063963.0,3V7E,A:502-582,P46350,2-82,8063964.0,3V7E,A:502-582,P46350,2-82,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063965.0,5XYI,M:1-118,A2FA40,1-118,8063966.0,5XYI,M:1-118,A2FA40,1-118,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063971.0,3J7A,R:22-135,O97249,22-135,8063972.0,3J7A,R:22-135,O97249,22-135,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063973.0,4ADX,6:8-103,P0DJ59,8-103,8063974.0,4ADX,6:8-103,P0DJ59,8-103,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063983.0,3CPQ,B:7-107,P54061,7-107,8063984.0,3CPQ,B:7-107,P54061,7-107,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8063985.0,5XXU,M:20-141,B9Q056,20-141,8063986.0,5XXU,M:20-141,B9Q056,20-141,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8077132.0,4UER,U:20-143,A0A0J9X223,1-124,8077133.0,4UER,U:20-143,A0A0J9X223,1-124,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8077490.0,5T2C,W:9-106,P62888,9-106,8077491.0,5T2C,W:9-106,P62888,9-106,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8077492.0,1YSH,C:1-104,Q5I7K9,6-109,8077493.0,1YSH,C:1-104,Q5I7K9,6-109,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8077494.0,3J79,6:8-105,Q8IJK8,8-105,8077495.0,3J79,6:8-105,Q8IJK8,8-105,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8080817.0,6AZ1,Q:27-141,E9BBC0,27-141,8080818.0,6AZ1,Q:27-141,E9BBC0,27-141,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8094372.0,6TMF,b:1-123,A0A218P167,1-123,8094373.0,6TMF,b:1-123,A0A218P167,1-123,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8095636.0,6UZ7,M:13-134,Q6CLU4,13-134,8095637.0,6UZ7,M:13-134,Q6CLU4,13-134,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8046338.0,3GYQ,B:8-103,P18644,8-103,8095890.0,3GYQ,B:8-103,P18644,8-103,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4002711",1.0,1000003.0,2001065.0,3001739.0,4002711.0
8046339.0,3NK6,A:2-103,P52391,2-103,8095894.0,3NK6,A:2-103,P52391,2-103,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4002711",1.0,1000003.0,2001065.0,3001739.0,4002711.0
8081910.0,5KZK,A:16-121,Q92SJ4,16-121,8095897.0,5KZK,A:16-121,Q92SJ4,16-121,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4002711",1.0,1000003.0,2001065.0,3001739.0,4002711.0
8096885.0,3J7Q,c:13-106,A0A4X1TXJ8,13-106,8096886.0,3J7Q,c:13-106,A0A4X1TXJ8,13-106,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8096945.0,6ZVI,u:20-143,P48589,20-143,8096946.0,6ZVI,u:20-143,P48589,20-143,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8097047.0,5XY3,c:12-109,A2E6Z9,12-109,8097048.0,5XY3,c:12-109,A2E6Z9,12-109,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8097717.0,5T2A,e:9-102,E9BRQ6,9-102,8097718.0,5T2A,e:9-102,E9BRQ6,9-102,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8098865.0,6SWA,a:13-109,P62889,13-109,8098866.0,6SWA,a:13-109,P62889,13-109,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8099459.0,5OPT,i:21-141,Q4CSL1,21-141,8099460.0,5OPT,i:21-141,Q4CSL1,21-141,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8102324.0,2AIF,A:16-130,A0A7G2HK80,17-131,8102325.0,2AIF,A:16-130,A0A7G2HK80,17-131,"TP=1,CL=1000003,CF=2001065,SF=3001739,FA=4001513",1.0,1000003.0,2001065.0,3001739.0,4001513.0
8027171.0,3BUX,B:48-177,P22681,48-177,8039550.0,3BUX,B:48-177,P22681,48-177,"TP=1,CL=1000000,CF=2000284,SF=3000373,FA=4000988",1.0,1000000.0,2000284.0,3000373.0,4000988.0
8020403.0,1M9O,A:5-43,P22893,91-129,8032783.0,1M9O,A:5-43,P22893,91-129,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8021604.0,2FC6,A:8-44,Q96GM8,285-321,8033984.0,2FC6,A:8-44,Q96GM8,285-321,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8026827.0,2CQE,A:458-513,Q9UPT8,446-501,8039206.0,2CQE,A:458-513,Q9UPT8,446-501,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8026829.0,2CQE,A:429-457,Q9UPT8,417-445,8039208.0,2CQE,A:429-457,Q9UPT8,417-445,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8028231.0,1RGO,A:151-186,P47974,151-186,8040610.0,1RGO,A:151-186,P47974,151-186,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8028234.0,1RGO,A:187-220,P47974,187-220,8040613.0,1RGO,A:187-220,P47974,187-220,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8044644.0,2KQB,A:368-417,Q8IW19,368-417,8051780.0,2KQB,A:368-417,Q8IW19,368-417,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4004057",1.0,1000004.0,2001070.0,3001741.0,4004057.0
8051519.0,2RHK,D:61-117,O95639,61-117,8051781.0,2RHK,D:61-89,O95639,61-89,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4007414",1.0,1000004.0,2001070.0,3001741.0,4007414.0
8051519.0,2RHK,D:61-117,O95639,61-117,8051782.0,2RHK,D:93-117,O95639,93-117,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4007414",1.0,1000004.0,2001070.0,3001741.0,4007414.0
8050278.0,2E5S,A:8-98,Q5VZF2,167-257,8051783.0,2E5S,A:18-51,Q5VZF2,177-210,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8050278.0,2E5S,A:8-98,Q5VZF2,167-257,8051784.0,2E5S,A:54-92,Q5VZF2,213-251,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8050279.0,3ZJ2,A:333-401,P32505,333-401,8051785.0,3ZJ2,A:336-361,P32505,336-361,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8050279.0,3ZJ2,A:333-401,P32505,333-401,8051786.0,3ZJ2,A:362-395,P32505,362-395,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8051787.0,4LJ0,A:402-422,G0SCL7,402-422,8051788.0,4LJ0,A:402-422,G0SCL7,402-422,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8050280.0,4LJ0,A:423-466,G0SCL7,423-466,8051789.0,4LJ0,A:423-443,G0SCL7,423-443,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8050280.0,4LJ0,A:423-466,G0SCL7,423-466,8051790.0,4LJ0,A:444-466,G0SCL7,444-466,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4006827",1.0,1000004.0,2001070.0,3001741.0,4006827.0
8044935.0,3TP2,A:7-116,Q12046,7-116,8051791.0,3TP2,A:70-94,Q12046,70-94,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4004212",1.0,1000004.0,2001070.0,3001741.0,4004212.0
8044936.0,3JB9,Y:49-155,P87126,49-155,8051792.0,3JB9,Y:114-136,P87126,114-136,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4004212",1.0,1000004.0,2001070.0,3001741.0,4004212.0
8052491.0,4C3E,I:4-30,P04545,4-30,8052492.0,4C3E,I:4-30,P04545,4-30,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8052493.0,4CS9,C:2-30,Q8QN58,2-30,8052494.0,4CS9,C:2-30,Q8QN58,2-30,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8095160.0,6PMG,X:312-346,Q9XUB2,312-346,8095161.0,6PMG,X:312-346,Q9XUB2,312-346,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
8106383.0,7NDJ,B:298-323,Q5DTV4,409-434,8106384.0,7NDJ,B:298-323,Q5DTV4,409-434,"TP=1,CL=1000004,CF=2001070,SF=3001741,FA=4003893",1.0,1000004.0,2001070.0,3001741.0,4003893.0
